l,t,freq,S21
1,0.3,13.7,-0.738674388
1,0.3,13.8,-0.747404788
1,0.3,13.9,-0.756156784
1,0.3,14,-0.764930218
1,0.3,14.1,-0.773725008
1,0.3,14.2,-0.782541149
1,0.3,14.3,-0.791378722
1,0.3,14.4,-0.800237891
1,0.3,14.5,-0.809118911
1,0.3,14.6,-0.818022126
1,0.3,14.7,-0.826947974
1,0.3,14.8,-0.835896988
1,0.3,14.9,-0.844869795
1,0.3,15,-0.853867123
1,0.3,15.1,-0.862889794
1,0.3,15.2,-0.871938729
1,0.3,15.3,-0.881014947
1,0.3,15.4,-0.890119561
1,0.3,15.5,-0.899253781
1,0.3,15.6,-0.908418908
1,0.3,15.7,-0.917616333
1,0.3,15.8,-0.926847534
1,0.3,15.9,-0.936114075
1,0.3,16,-0.945417595
1,0.4,2,-0.029338536
1,0.4,2.1,-0.031680737
1,0.4,2.2,-0.034092581
1,0.4,2.3,-0.036574898
1,0.4,2.4,-0.039128496
1,0.4,2.5,-0.04175413
1,0.4,2.6,-0.044452483
1,0.4,2.7,-0.047224151
1,0.4,2.8,-0.050069641
1,0.4,2.9,-0.052989364
1,0.4,3,-0.055983642
1,0.4,3.1,-0.059052706
1,0.4,3.2,-0.062196703
1,0.4,3.3,-0.065415706
1,0.4,3.4,-0.06870971
1,0.4,3.5,-0.07207865
1,0.4,3.6,-0.075522397
1,0.4,3.7,-0.079040771
1,0.4,3.8,-0.082633541
1,0.4,3.9,-0.086300435
1,0.4,4,-0.090041145
1,0.4,4.1,-0.093855327
1,0.4,4.2,-0.097742609
1,0.4,4.3,-0.101702595
1,0.4,4.4,-0.105734867
1,0.4,4.5,-0.109838991
1,0.4,4.6,-0.114014514
1,0.4,4.7,-0.118260976
1,0.4,4.8,-0.122577904
1,0.4,4.9,-0.126964818
1,0.4,5,-0.131421235
1,0.4,5.1,-0.135946665
1,0.4,5.2,-0.14054062
1,0.4,5.3,-0.145202608
1,0.4,5.4,-0.149932141
1,0.4,5.5,-0.154728732
1,0.4,5.6,-0.159591896
1,0.4,5.7,-0.164521155
1,0.4,5.8,-0.169516034
1,0.4,5.9,-0.174576065
1,0.4,6,-0.179700785
1,0.4,6.1,-0.18488974
1,0.4,6.2,-0.190142482
1,0.4,6.3,-0.195458572
1,0.4,6.4,-0.200837579
1,0.4,6.5,-0.206279079
