"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
1,0.4,15.2,-0.863304421849972
1,0.4,15.3,-0.871997025736539
1,0.4,15.4,-0.88070170509023
1,0.4,15.5,-0.889419819882104
1,0.4,15.6,-0.898152875170673
1,0.4,15.7,-0.906902513530023
1,0.4,15.8,-0.915670506668903
1,0.4,15.9,-0.924458746415663
1,0.4,16,-0.933269235180265
1.1,0.2,2,-0.0258786641865991
1.1,0.2,2.1,-0.0283682480556817
1.1,0.2,2.2,-0.030961292110161
1.1,0.2,2.3,-0.0336555836541576
1.1,0.2,2.4,-0.0364488839607525
1.1,0.2,2.5,-0.0393389369237441
1.1,0.2,2.6,-0.0423234777140786
1.1,0.2,2.7,-0.0454002413996322
1.1,0.2,2.8,-0.0485669714871214
1.1,0.2,2.9,-0.051821428345068
1.1,0.2,3,-0.0551613974671223
1.1,0.2,3.1,-0.0585846975356824
1.1,0.2,3.2,-0.0620891882466235
1.1,0.2,3.3,-0.065672777856845
1.1,0.2,3.4,-0.0693334304177068
1.1,0.2,3.5,-0.0730691726589145
1.1,0.2,3.6,-0.0768781004888634
1.1,0.2,3.7,-0.0807583850796373
1.1,0.2,3.8,-0.0847082785065938
1.1,0.2,3.9,-0.0887261189149138
1.1,0.2,4,-0.0928103351879164
1.1,0.2,4.1,-0.0969594510944138
1.1,0.2,4.2,-0.101172088895231
1.1,0.2,4.3,-0.105446972391887
1.1,0.2,4.4,-0.109782929403497
1.1,0.2,4.5,-0.114178893660974
1.1,0.2,4.6,-0.118633906111028
1.1,0.2,4.7,-0.123147115625593
1.1,0.2,4.8,-0.127717779115803
1.1,0.2,4.9,-0.132345261053087
1.1,0.2,5,-0.137029032403184
1.1,0.2,5.1,-0.141768668982586
1.1,0.2,5.2,-0.146563849250099
1.1,0.2,5.3,-0.151414351549634
1.1,0.2,5.4,-0.156320050823762
1.1,0.2,5.5,-0.161280914820489
1.1,0.2,5.6,-0.166296999819012
1.1,0.2,5.7,-0.171368445903053
1.1,0.2,5.8,-0.176495471813146
1.1,0.2,5.9,-0.181678369411805
1.1,0.2,6,-0.186917497798004
1.1,0.2,6.1,-0.192213277109416
1.1,0.2,6.2,-0.197566182052805
1.1,0.2,6.3,-0.20297673520469
1.1,0.2,6.4,-0.208445500125779
1.1,0.2,6.5,-0.213973074333551
1.1,0.2,6.6,-0.219560082178546
1.1,0.2,6.7,-0.225207167669969
1.1,0.2,6.8,-0.230914987296812
1.1,0.2,6.9,-0.236684202890036
1.1,0.2,7,-0.242515474571518
1.1,0.2,7.1,-0.248409453834029
1.1,0.2,7.2,-0.254366776795797
1.1,0.2,7.3,-0.260388057671762
1.1,0.2,7.4,-0.26647388250152
1.1,0.2,7.5,-0.272624803172583
1.1,0.2,7.6,-0.278841331774606
1.1,0.2,7.7,-0.285123935318064
1.1,0.2,7.8,-0.291473030848085
1.1,0.2,7.9,-0.297888980980706
1.1,0.2,8,-0.30437208988627
1.1,0.2,8.1,-0.310922599740452
1.1,0.2,8.2,-0.317540687660829
1.1,0.2,8.3,-0.324226463142224
1.1,0.2,8.4,-0.330979966001302
1.1,0.2,8.5,-0.337801164836324
1.1,0.2,8.6,-0.344689956004725
1.1,0.2,8.7,-0.35164616311687
1.1,0.2,8.8,-0.358669537041284
1.1,0.2,8.9,-0.365759756412132
1.1,0.2,9,-0.372916428626945
1.1,0.2,9.1,-0.380139091318654
