"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
4,0.4,12.7,-0.735449222781239
4,0.4,12.8,-0.776448084448157
4,0.4,12.9,-0.818011906406792
4,0.4,13,-0.860094080718545
4,0.4,13.1,-0.902655290472698
4,0.4,13.2,-0.945662568445421
4,0.4,13.3,-0.98908850033984
4,0.4,13.4,-1.03291054981939
4,0.4,13.5,-1.07711048634032
4,0.4,13.6,-1.12167389991115
4,0.4,13.7,-1.16658978948314
4,0.4,13.8,-1.21185021380775
4,0.4,13.9,-1.25744999536433
4,0.4,14,-1.30338646943278
4,0.4,14.1,-1.34965927161285
4,0.4,14.2,-1.39627015811978
4,0.4,14.3,-1.44322285404846
4,0.4,14.4,-1.4905229255276
4,0.4,14.5,-1.53817767230168
4,0.4,14.6,-1.58619603780306
4,0.4,14.7,-1.63458853422428
4,0.4,14.8,-1.68336718048944
4,0.4,14.9,-1.73254545135376
4,0.4,15,-1.78213823615317
4,0.4,15.1,-1.83216180597937
4,0.4,15.2,-1.88263378828117
4,0.4,15.3,-1.93357314809456
4,0.4,15.4,-1.98500017528097
4,0.4,15.5,-2.03693647731964
4,0.4,15.6,-2.0894049773461
4,0.4,15.7,-2.14242991726884
4,0.4,15.8,-2.19603686592144
4,0.4,15.9,-2.25025273232927
4,0.4,16,-2.30510578428314
4,0.5,2,-0.197222265152271
4,0.5,2.1,-0.216410959687243
4,0.5,2.2,-0.236609163114675
4,0.5,2.3,-0.257836312952305
4,0.5,2.4,-0.280113087776227
4,0.5,2.5,-0.303461615681886
4,0.5,2.6,-0.327905677832522
4,0.5,2.7,-0.353470911697165
4,0.5,2.8,-0.380185017968504
4,0.5,2.9,-0.408077974727382
4,0.5,3,-0.437182262158789
4,0.5,3.1,-0.467533101000379
4,0.5,3.2,-0.499168707898913
4,0.5,3.3,-0.532130570949615
4,0.5,3.4,-0.566463748889184
4,0.5,3.5,-0.602217197701626
4,0.5,3.6,-0.639444128777506
4,0.5,3.7,-0.678202403246182
4,0.5,3.8,-0.718554967685329
4,0.5,3.9,-0.760570337115042
4,0.5,4,-0.804323132021644
4,0.5,4.1,-0.849894677150146
4,0.5,4.2,-0.897373670981515
4,0.5,4.3,-0.946856936205192
4,0.5,4.4,-0.998450263149527
4,0.5,4.5,-1.05226936009594
4,0.5,4.6,-1.10844092673897
4,0.5,4.7,-1.16710386984391
4,0.5,4.8,-1.22841068349446
4,0.5,4.9,-1.29252902033672
4,0.5,5,-1.35964348506715
4,0.5,5.1,-1.42995768727285
4,0.5,5.2,-1.50369659785738
4,0.5,5.3,-1.58110926198365
4,0.5,5.4,-1.6624719321343
4,0.5,5.5,-1.74809169803737
4,0.5,5.6,-1.83831070649315
4,0.5,5.7,-1.93351108442295
4,0.5,5.8,-2.03412070387356
4,0.5,5.9,-2.14061995974377
4,0.5,6,-2.25354977164466
4,0.5,6.1,-2.37352107324673
4,0.5,6.2,-2.50122611935335
4,0.5,6.3,-2.63745202778556
4,0.5,6.4,-2.78309708693598
4,0.5,6.5,-2.93919051035385
4,0.5,6.6,-3.10691652093136
4,0.5,6.7,-3.28764391937887
4,0.5,6.8,-3.48296266436782
4,0.5,6.9,-3.69472950927485
4,0.5,7,-3.92512547021109
4,0.5,7.1,-4.17672894635936
4,0.5,7.2,-4.45260984193848
4,0.5,7.3,-4.75645231752272
4,0.5,7.4,-5.09271727312991
4,0.5,7.5,-5.46686110011639
4,0.5,7.6,-5.88563598230383
4,0.5,7.7,-6.35751154642925
4,0.5,7.8,-6.89328265413374
4,0.5,7.9,-7.50697294151162
4,0.5,8,-8.21722794835307
4,0.5,8.1,-9.04955897510262
4,0.5,8.2,-10.0401534075447
4,0.5,8.3,-11.2427797817696
4,0.5,8.4,-12.7423603722052
4,0.5,8.5,-14.6845154349693
4,0.5,8.6,-17.3479307798738
4,0.5,8.7,-21.3270643850474
4,0.5,8.8,-27.4284523116927
4,0.5,8.9,-25.9542366328731
4,0.5,9,-19.7734696969341
4,0.5,9.1,-15.7833860138589
4,0.5,9.2,-12.9378003004819
4,0.5,9.3,-10.7636122380185
4,0.5,9.4,-9.02638374750868
4,0.5,9.5,-7.59913880064491
4,0.5,9.6,-6.40696248751177
4,0.5,9.7,-5.40159823938907
4,0.5,9.8,-4.54954345245859
4,0.5,9.9,-3.82599893627434
4,0.5,10,-3.21160334842528
4,0.5,10.1,-2.69060162894283
4,0.5,10.2,-2.24979135820747
4,0.5,10.3,-1.87790192265874
4,0.5,10.4,-1.56521493686551
4,0.5,10.5,-1.30331710703287
4,0.5,10.6,-1.08492415017956
4,0.5,10.7,-0.903742323622977
4,0.5,10.8,-0.754350445925085
4,0.5,10.9,-0.632094458262167
4,0.5,11,-0.532991366696002
4,0.5,11.1,-0.453641630246076
4,0.5,11.2,-0.391149879808715
4,0.5,11.3,-0.343053983155904
4,0.5,11.4,-0.307262321355661
4,0.5,11.5,-0.28199892615797
4,0.5,11.6,-0.26575594306979
4,0.5,11.7,-0.257252763324603
4,0.5,11.8,-0.255401110328483
4,0.5,11.9,-0.259275360142842
4,0.5,12,-0.268087405798174
4,0.5,12.1,-0.281165427819533
4,0.5,12.2,-0.297935997383545
4,0.5,12.3,-0.317909006261896
4,0.5,12.4,-0.340664984062276
4,0.5,12.5,-0.365844425233168
4,0.5,12.6,-0.393138804296293
4,0.5,12.7,-0.422283007229992
4,0.5,12.8,-0.453048949887369
4,0.5,12.9,-0.485240191185877
4,0.5,13,-0.518687380128812
4,0.5,13.1,-0.553244402158334
4,0.5,13.2,-0.588785112542404
4,0.5,13.3,-0.625200563073088
4,0.5,13.4,-0.662396643852563
4,0.5,13.5,-0.700292074852422
4,0.5,13.6,-0.738816692671681
4,0.5,13.7,-0.777909986850189
4,0.5,13.8,-0.817519847519562
4,0.5,13.9,-0.85760149234994
4,0.5,14,-0.898116545890457
4,0.5,14.1,-0.939032248682304
4,0.5,14.2,-0.980320777091888
4,0.5,14.3,-1.02195865779184
4,0.5,14.4,-1.06392626330716
4,0.5,14.5,-1.10620737712945
4,0.5,14.6,-1.14878881864965
4,0.5,14.7,-1.19166011962833
4,0.5,14.8,-1.23481324515737
4,0.5,14.9,-1.27824235310823
4,0.5,15,-1.32194358694143
4,0.5,15.1,-1.36591489749566
4,0.5,15.2,-1.41015589000614
4,0.5,15.3,-1.45466769313863
4,0.5,15.4,-1.49945284728152
4,0.5,15.5,-1.54451520973009
4,0.5,15.6,-1.58985987473081
4,0.5,15.7,-1.6354931066403
4,0.5,15.8,-1.68142228470308
4,0.5,15.9,-1.7276558581643
4,0.5,16,-1.7742033106216
4,0.6,2,-0.199628073198391
4,0.6,2.1,-0.218798572816826
4,0.6,2.2,-0.238923659951558
4,0.6,2.3,-0.260022548307748
4,0.6,2.4,-0.282115153441627
4,0.6,2.5,-0.305222223119089
4,0.6,2.6,-0.329365478234007
4,0.6,2.7,-0.354567761539751
4,0.6,2.8,-0.380853192992818
4,0.6,2.9,-0.408247331548028
4,0.6,3,-0.436777343949459
4,0.6,3.1,-0.466472181549304
4,0.6,3.2,-0.497362766539308
4,0.6,3.3,-0.529482189253174
4,0.6,3.4,-0.562865918432139
4,0.6,3.5,-0.597552026566504
4,0.6,3.6,-0.633581432653063
4,0.6,3.7,-0.670998164956613
4,0.6,3.8,-0.709849646644603
4,0.6,3.9,-0.750187007487923
4,0.6,4,-0.792065425198117
4,0.6,4.1,-0.835544500411396
4,0.6,4.2,-0.880688669845586
4,0.6,4.3,-0.927567662758952
4,0.6,4.4,-0.976257006547216
4,0.6,4.5,-1.0268385881432
4,0.6,4.6,-1.07940127885701
4,0.6,4.7,-1.13404163143783
4,0.6,4.8,-1.19086465948622
4,0.6,4.9,-1.24998471093622
4,0.6,5,-1.31152644920878
4,0.6,5.1,-1.37562595787284
4,0.6,5.2,-1.44243198730944
4,0.6,5.3,-1.51210736505035
4,0.6,5.4,-1.5848305952694
4,0.6,5.5,-1.6607976774818
4,0.6,5.6,-1.74022418003553
4,0.6,5.7,-1.8233476106803
4,0.6,5.8,-1.9104301346621
4,0.6,5.9,-2.00176170077702
4,0.6,6,-2.09766364809606
4,0.6,6.1,-2.19849288124684
4,0.6,6.2,-2.30464672100004
4,0.6,6.3,-2.41656856048943
4,0.6,6.4,-2.53475448706873
4,0.6,6.5,-2.65976106740288
4,0.6,6.6,-2.79221454137178
4,0.6,6.7,-2.93282173208447
4,0.6,6.8,-3.08238305937435
4,0.6,6.9,-3.24180814898459
4,0.6,7,-3.41213466829266
4,0.6,7.1,-3.59455120474349
4,0.6,7.2,-3.79042525380181
4,0.6,7.3,-4.00133772656293
4,0.6,7.4,-4.22912586403659
4,0.6,7.5,-4.47593711761225
4,0.6,7.6,-4.74429751946339
4,0.6,7.7,-5.03719947466349
4,0.6,7.8,-5.35821600447181
4,0.6,7.9,-5.71165166543277
4,0.6,8,-6.10274535692309
4,0.6,8.1,-6.5379482328047
4,0.6,8.2,-7.02531317424232
4,0.6,8.3,-7.57505496415666
4,0.6,8.4,-8.20038073358554
4,0.6,8.5,-8.91876567915837
4,0.6,8.6,-9.75399747384128
4,0.6,8.7,-10.7396237759589
4,0.6,8.8,-11.9251394640799
4,0.6,8.9,-13.3879844689456
4,0.6,9,-15.2591789615929
4,0.6,9.1,-17.7848724282815
4,0.6,9.2,-21.4858276699175
4,0.6,9.3,-27.0754361942996
4,0.6,9.4,-26.3746944481644
4,0.6,9.5,-22.1480015221772
4,0.6,9.6,-17.9198160679728
4,0.6,9.7,-14.7513203736542
4,0.6,9.8,-12.3845397099592
4,0.6,9.9,-10.5123980545659
4,0.6,10,-8.97612845747778
4,0.6,10.1,-7.68663927122448
4,0.6,10.2,-6.58909891777755
4,0.6,10.3,-5.647100768853
4,0.6,10.4,-4.83487122426338
4,0.6,10.5,-4.13311555884689
4,0.6,10.6,-3.52667305325898
4,0.6,10.7,-3.00314342214306
4,0.6,10.8,-2.55206426116339
4,0.6,10.9,-2.16441168009684
4,0.6,11,-1.83229281330817
4,0.6,11.1,-1.54875147435309
4,0.6,11.2,-1.30763903550163
4,0.6,11.3,-1.10352164791978
4,0.6,11.4,-0.931606963282418
4,0.6,11.5,-0.787681100923496
4,0.6,11.6,-0.668051232075748
4,0.6,11.7,-0.569491821002913
4,0.6,11.8,-0.489193969072005
4,0.6,11.9,-0.424717941757851
4,0.6,12,-0.373949153948581
4,0.6,12.1,-0.335057861921064
4,0.6,12.2,-0.306462692058978
4,0.6,12.3,-0.286797999650101
4,0.6,12.4,-0.274884931499492
4,0.6,12.5,-0.269705977022356
4,0.6,12.6,-0.270382735337839
4,0.6,12.7,-0.276156596421635
4,0.6,12.8,-0.286372026409263
4,0.6,12.9,-0.300462154470122
4,0.6,13,-0.317936375963446
4,0.6,13.1,-0.338369709649005
4,0.6,13.2,-0.361393672471536
4,0.6,13.3,-0.386688461732129
4,0.6,13.4,-0.413976259908638
4,0.6,13.5,-0.44301550115555
4,0.6,13.6,-0.473595960163569
